,Unnamed: 0.1,Unnamed: 0,T_REC,USFLUXL,MEANGBL,R_VALUE,AREA,HARPNUM,NOAA_ARS,label,observation_period,prediction_period
107,107,107,2017-10-28 02:12:00,-0.2141219450665394,0.2517208939405386,-1.420259872620072,0.1270477309720997,7169,12685,negative,D0,D0
108,108,108,2017-10-28 03:48:00,-0.2071535714736601,0.2631573772944192,-0.1676165414952087,0.1309222972836702,7169,12685,negative,D0,D0
109,109,109,2017-10-28 05:24:00,-0.204859039891889,0.3136685121073924,-1.420259872620072,0.122433994276338,7169,12685,negative,D0,D0
110,110,110,2017-10-28 07:00:00,-0.204618693258029,0.309379830849687,-1.420259872620072,0.1194202013191058,7169,12685,negative,D0,D0
111,111,111,2017-10-28 08:36:00,-0.2106778160424097,0.3136685121073924,-0.3053900141776028,0.1068721053872298,7169,12685,negative,D0,D0
112,112,112,2017-10-28 10:12:00,-0.2092541096528587,0.3300290369053048,0.1465530928642254,0.1166760319948622,7169,12685,negative,D0,D0
113,113,113,2017-10-28 11:48:00,-0.2070288747528719,0.2599805763627857,-0.512338452223542,0.1422436313899166,7169,12685,negative,D0,D0
114,114,114,2017-10-28 13:24:00,-0.2137557825191843,0.2372664497016059,-1.420259872620072,0.1431341081387482,7169,12685,negative,D0,D0
115,115,115,2017-10-28 15:00:00,-0.2192871126760858,0.1727773907894455,-0.4454693190387817,0.1507067579866113,7169,12685,negative,D0,D0
116,116,116,2017-10-28 16:36:00,-0.2161508549124806,0.1713478303702104,-1.420259872620072,0.1620510361261674,7169,12685,negative,D0,D0
117,117,117,2017-10-28 18:12:00,-0.2153858866971451,0.1386267807743851,-0.4448928609940855,0.1635588938554376,7169,12685,negative,D0,D0
118,118,118,2017-10-28 19:48:00,-0.2225836947949898,0.1113062927623367,-0.4252932874744143,0.1590443746353394,7169,12685,negative,D0,D0
119,119,119,2017-10-28 21:24:00,-0.2396360879453304,0.0390340715676743,-0.1266880203217777,0.1511157821411578,7169,12685,negative,D0,D0
120,120,120,2017-10-28 23:00:00,-0.2517547065783275,-0.0227547065525981,-0.0817242928354734,0.1428302546354035,7169,12685,negative,D0,D0
121,121,121,2017-10-29 00:36:00,-0.2640194731256663,-0.0781898828096032,-0.1347584329475248,0.1302975994192088,7169,12685,negative,D0,D0
122,122,122,2017-10-29 02:12:00,-0.2729691908744332,-0.0651649989899056,-0.0799949187013847,0.1147021004117846,7169,12685,negative,D0,D0
123,123,123,2017-10-29 03:48:00,-0.2898355182372105,-0.1153584537097151,0.0416377287295153,0.0907490795392922,7169,12685,negative,D0,D0
124,124,124,2017-10-29 05:24:00,-0.2983836323362291,-0.0648473188967419,-1.420259872620072,0.0611247255286702,7169,12685,negative,D0,D0
125,125,125,2017-10-29 07:00:00,-0.31750158889367,-0.0777133626698581,-0.5140678263576306,0.0212300606725949,7169,12685,negative,D0,D0
126,126,126,2017-10-29 08:36:00,-0.3171904533210829,-0.0264080276239766,-0.0333018170809918,0.0100519098613208,7169,12685,negative,D0,D0
127,127,127,2017-10-29 10:12:00,-0.3245813221609106,-0.0009936201709084,-0.1145824013831573,0.0005351555212848,7169,12685,negative,D0,D0
128,128,128,2017-10-29 11:48:00,-0.3338069209119894,-0.0729481612724076,-0.5636432182015046,-0.0112173403331757,7169,12685,negative,D0,D0
129,129,129,2017-10-29 13:24:00,-0.3409088515012551,-0.0804136434617465,-0.2909785630601975,-0.0296430797773573,7169,12685,negative,D0,D0
130,130,130,2017-10-29 15:00:00,-0.3502759348637292,-0.0710420807134275,-0.1532050903778035,-0.0515482522061507,7169,12685,negative,D0,D0
131,131,131,2017-10-29 16:36:00,-0.3601378879348805,-0.1067810911943048,0.1845993238141751,-0.0723890068561887,7169,12685,negative,D0,D0
132,132,132,2017-10-29 18:12:00,-0.3693761708699736,-0.0303790287885183,-0.5538434314416691,-0.1045934493144877,7169,12685,negative,D0,D0
133,133,133,2017-10-29 19:48:00,-0.3747100567801225,-0.0418155121423989,-1.420259872620072,-0.1231995785117665,7169,12685,negative,D0,D0
134,134,134,2017-10-29 21:24:00,-0.3747312281754995,0.0163199449064945,0.2151516001830744,-0.1324909849141423,7169,12685,negative,D0,D0
135,135,135,2017-10-29 23:00:00,-0.3866031580826294,-0.0194190655743828,0.0917895786180856,-0.1603061082242897,7169,12685,negative,D0,D0
136,136,136,2017-10-30 00:36:00,-0.3905840332758954,-0.020213265807291,0.0468258511317811,-0.1671612294799974,7169,12685,negative,D0,D0
137,137,137,2017-10-30 02:12:00,-0.3899903948108124,-0.0488044741919927,0.25838595353529,-0.1643319811544976,7169,12685,negative,D0,D0
138,138,138,2017-10-30 03:48:00,-0.3878670064471761,-0.0405447917697456,0.0744958372771992,-0.1638440173538416,7169,12685,negative,D0,D0
139,139,139,2017-10-30 05:24:00,-0.3969522397795668,-0.0745365617382241,0.0497081413552621,-0.1682329024215685,7169,12685,negative,D0,D0
140,140,140,2017-10-30 07:00:00,-0.4070077199229957,-0.1261595768772693,-0.1243821881429928,-0.1753458651635933,7169,12685,negative,D0,D0
141,141,141,2017-10-30 08:36:00,-0.4115879228109394,-0.0988390888652209,-0.0972886600422712,-0.1851783171288498,7169,12685,negative,D0,D0
